region,fluggebiet,site_name,latitude,longitude,elevation_m,windrichtung,ideal_wind_max_kmh,slope_azimuth,slope_angle,kritischer_foehn,Bemerkungen
Zürich,Uetliberg,Balderen,47.3226,8.5008,730,NO-O,30,225,30,Süd,"[INFO] Kein klassisches Soaring, Wind drÃ¼ckt Thermik an den Hang. [BEDINGUNG] WENN Wind < 15 km/h DANN hohes Risiko für Abgleiter (auch bei guter Thermik!). [BEDINGUNG] WENN Wind >= 15 km/h DANN Soaring mÃ¶glich (unabhÃ¤ngig von Sonne/BewÃ¶lkung/Thermik). [BEDINGUNG] WENN Wind >= 20 km/h DANN sehr gute Bedingungen. [BEDINGUNG] WENN Wind >= 15 km/h UND gute Thermik DANN Top-Bedingungen."
Berneroberland,Grindelwald,First,46.6575,8.0551,2120,O-SW,30,,,Süd,
Zentralschweiz,Engelberg,Tämpfeli,46.838,8.412,1800,S-SO,30,,,Süd,
Zentralschweiz,Engelberg,Brunnihütte,46.8425,8.4104,1870,W-SW,30,,,Süd,
Zentralschweiz,Engelberg,Fürenalp,46.805,8.4657,1800,S-W,30,,,Süd,
Zentralschweiz,Pilatus,Pilatus Kulm,46.9793,8.2552,2059,S-W,30,,,Süd,
Zentralschweiz,Zug,Zugerberg,47.14793,8.53581,947,NW-SW,30,,,Süd,"Einfach bei Westwind, Mittel bei Nordwest oder SÃ¼dwestwind"
Solothurn,Weissenstein,Weissenstein,47.25087,7.50999,1233,S-SO,30,,,Süd,"Schon wenige Km/h Westwind sorgen für Leerotoren bei der Baumschneise, die das erfolgreiche Passieren der Baumwipfel zur Glücksache werden lassen. "
Solothurn,Weissenstein,Röti,47.25813,7.5277,1393,N-NO,30,,,Süd,
Schwyz,Hoch-Ybrig,Grosser Sternen,46.9996,8.8,1850,NNO-NNW,30,,,Süd,Hauptstartplatz im Sommer. Der meist gepistete Winterstarplatz befindet sich ca. 50 m in Richtung Seilbahn
Schwyz,Hoch-Ybrig,Tritt,47.0028,8.7969,1714,NNO-N,30,,,Süd,
Schwyz,Hoch-Ybrig,Tisch,47.0007,8.8118,1954,NO-NW,30,,,Süd,Besserer Einstieg in die Thermikals Tritt und Grosser Sternen
Schwyz,Hoch-Ybrig,Forstberg,47.0014,8.8226,2175,W-NNW,30,,,Süd,Alpiner Startplatz. Nur für tritt- und startsichere Piloten
Schwyz,Hoch-Ybrig,Steinhüttli,47.0095,8.8175,1582,N-NW,30,,,Süd,
Schwyz,Euthal,"Waldrand, oberhalb Kreuz",47.0936,8.8231,990,SW-NW,30,,,Süd,Skilift und Stromleitung beachten bei tiefen Landeanflügen. Bei Bise nicht fliegen. In der Mulde oberhalb des Skiliftes ist es sehr turbulent.
Schwyz,Euthal,Chli Aubrig,47.107,8.8628,1620,S-W,30,,,Süd,Wildschongebiet Studen beachten (Dezember bis April). Tierüberflug nur mit genügend Abstand. Bei Bise nicht fliegen. In der Mulde oberhalb des Skiliftes ist es sehr turbulent. [BEDINGUNG] WENN Wind >= 15 km/h DANN Soaring mÃ¶glich und man kann fliegen. [BEDINGUNG] WENN Wind < 10 km/h DANN hohes Risiko für Abgleiter (auch bei guter Thermik!)
Schwyz,Hummel,Rotmoos,47.10318,8.7743,1045,NO-O,30,,,Süd,[BEDINGUNG] WENN Wind >= 15 km/h DANN Soaring mÃ¶glich und man kann vom Rotmoos aus fliegen. [BEDINGUNG] WENN Wind < 10 km/h DANN hohes Risiko für Abgleiter (auch bei guter Thermik!)
Schwyz,Hummel,Hummel,47.09851,8.77263,1317,NW-NO,30,,,Süd,
Schwyz,Fronalpstock / Stoos,Gipfel Fronalpstock,46.9693,8.6372,1900,NO-O,30,,,Süd,
Schwyz,Fronalpstock / Stoos,Bietstöckli,46.97257,8.637,1850,W-N,30,,,Süd,
Schwyz,Fronalpstock / Stoos,Südstartplatz,46.9653,8.6401,1860,SO-S,30,,,Süd,Nicht geeignet bei Wind > 20 km/h wegen Rotoren!
Schwyz,Fronalpstock / Stoos,Charenstöckli,46.97339,8.6438,1807,N-O,30,,,Süd,Alternativstartplatz bei starkem N-NO Wind am Gipfel. 
Schwyz,Rigi,Rigi Kulm,47.0555,8.4866,1765,SO-SW,30,,,Süd,"Vorsicht: Rotor an Felskante NE. Bitte um Rücksichtnahme auf Weidetiere, nicht toplanden."
Schwyz,Rigi,Rigi Staffelhöhe,47.0477,8.4599,1544,SSW-SSO,30,,,Süd,"SW nur benutzen, wenn Verbotstafel abgedeckt ist. Sonderregelung Lufträume beachten (siehe SHV-Website)"
Schwyz,Rigi,Seebodenalp,47.0622,8.4575,1035,W-NNW,30,,,Süd,
Schwyz,Rigi,Scheidegg,47.0277,8.5202,1652,NNO-NO,30,,,Süd,Abbruchzone sehr steil
Schwyz,Rotenflue,Bergstation,47.0216,8.7042,1550,NW-NO,30,,,Süd,
Schwyz,Rotenflue,Südwest,47.0177,8.7007,1510,SO-SW,30,,,Süd,
